,Package_name,nationality,GENDER,rev_voice_total,rev_sms_total,rev_on_net,rev_off_net,Rev_international_call,rev_fix,rev_sms_int,rev_total,SMS_INCOMING_COUNT,Data_kb,Rch_count_Voucher,Rch_Voucher_Rev,Act_days_lcl_moc,Act_days_intl_moc,Act_days_All_moc,Act_days_MTC,Act_Days_RGE,ACT_DAYS_VCE_MOC_ONNET,ACT_DAYS_VCE_MOC_OFFNET,SN_STC_MOC,SN_ZAIN_MOC,SN_VIRGIN_MOC,SN_LEBARA_MOC,SN_STC_MTC,SN_ZAIN_MTC,SN_VIRGIN_MTC,SN_LEBARA_MTC,SN_TOTAL_MOC,SN_TOTAL_MTC,in_Discunnect_Numbers,churned,days_since_last_recharge,hours_since_last_recharge,Brith_of_date_monthday,Brith_of_date_weekday,Brith_of_date_month,Brith_of_date_year,last_date_of_Revenue_monthday,last_date_of_Revenue_weekday,last_date_of_Revenue_month,Last_call_date_monthday,Last_call_date_weekday,Last_call_date_month,last_Recharge_date_monthday,last_Recharge_date_weekday,last_Recharge_date_month,last_Recharge_date_year,activation_date_monthday,activation_date_weekday,activation_date_month,activation_date_year
Package_name,1.0,0.0024474892205284845,0.032218582830397864,0.03155755246679279,-0.01704881945612222,0.08075651774316085,0.08015367509450311,-0.01704881945613433,-0.02427788390011337,-0.01704881945613464,0.031145182903906873,0.04007196429917541,0.006681807539177983,-0.014243151188413317,-0.01424315118841298,0.04752500751467064,-0.02027294276853887,0.04752500751467114,-0.24816220558854774,-0.2229207879518306,0.02421672442721461,0.06671774567268277,0.07876815582577476,0.06592401975854495,-0.0380132247348453,-0.04165115008881494,0.08144310771106965,0.06592401975854598,-0.03801322473484529,-0.04165115008881543,0.06173644460216913,0.06183548433233277,0.1139007993525604,-0.0064831297281480495,-0.028520462409216147,-0.028520462409216157,0.04447379433869056,-0.05684586075928553,-0.03725157699362183,0.024664014227332613,0.05237255390400356,0.005726845478147456,0.05227088312078615,0.057085745122930374,0.02636285669697471,0.04668918584169007,-0.06640708694359468,0.0515796313520271,-0.04797915140030703,-0.04700633550630207,-0.06092309997023453,0.06086690660758057,0.030545488951936203,-0.020824582155952367
nationality,0.0024474892205284845,1.0,-0.018715834682039127,0.005638212951535036,-0.005308242245150744,0.017849580565216055,0.017674657319302647,-0.005308242245144885,-0.0064157591475777756,-0.005308242245144839,0.005542816561428161,0.008229527429058938,0.003175603142293074,-0.005999373261681401,-0.005999373261681505,0.01137898900907611,-0.005920747751554666,0.0113789890090762,-0.022892168954853624,-0.00565705519757467,0.006378248289728232,0.015524192358286833,0.018391668934361848,0.01507432304824752,-0.010856379049259937,-0.009443759207249183,0.018835781228980053,0.015074323048247554,-0.010856379049259932,-0.009443759207249306,0.014895755495695445,0.015148206616630251,0.029953936714926015,0.0008426818076715742,-0.005331616393709985,-0.005331616393709985,0.010738876117432503,-0.01375482632202219,-0.006414025008789092,0.008051510263864557,0.010907336497500024,4.797781669750658e-05,0.011053579073152544,0.012863151108152789,0.007708694764932161,0.009571415806625997,-0.01907990570283658,0.00963701609458095,-0.00978748071928769,-0.008956117590449678,-0.011468598921085255,0.012340957603448456,0.00916989737656702,-0.005782756497278525
GENDER,0.032218582830397864,-0.018715834682039127,1.0,-0.007666883201403749,0.014329185796441494,-0.035086303650801745,-0.034505671568461904,0.014329185796453786,0.00884103315677936,0.014329185796453816,-0.007468886671368403,-0.01272293157012143,-0.003970863526694364,0.015028672778200062,0.015028672778198441,-0.020526419241044768,0.01653293428267287,-0.020526419241044907,0.002159728590285299,0.008750137879651308,-0.010349547433377468,-0.030324344562883226,-0.03561667675820797,-0.029954651742063975,0.019399498905890225,0.016239552369257892,-0.03657868971285532,-0.029954651742064384,0.019399498905890065,0.016239552369258045,-0.028982279237516968,-0.02994814136007798,0.003962908067487731,-0.004740084132256281,0.009353061486274867,0.00935306148627486,-0.01893983352563994,0.025966737092732377,0.006494177330157851,-0.019006304995125702,-0.021676661686456516,-0.004157847956978024,-0.019365319934125057,-0.02309644758183909,-0.014460006687622269,-0.0157003841212344,0.03753105420313277,-0.018108127413678787,0.016705012648662903,0.015556684286193785,0.023446957084127803,-0.02321078391753426,-0.014633176829239128,0.014759040504383699
rev_voice_total,0.03155755246679279,0.005638212951535036,-0.007666883201403749,1.0,0.8191402960502778,0.48450752660387725,0.5348011871034803,0.8191402960502054,-0.10299349449535856,0.8191402960502169,0.9999848345984064,0.37931573300115085,-0.28990054432656726,-0.04965499426365929,-0.049654994263656896,0.12443747650236205,0.7906083526929963,0.12443747650236214,-0.08503020625955236,-0.09148935931633956,-0.031092998221147937,0.31706798339454906,0.37385932848003695,0.4069070714644217,-0.17739120973627698,-0.19889825620188317,0.4058595700948557,0.4069070714644314,-0.1773912097362774,-0.19889825620188276,0.30207277559350487,0.26425538756187805,0.04482698516953404,-0.08115280203487589,-0.1216484976815432,-0.12164849768154318,-0.03981161033560699,-0.2630393876508305,-0.3245561907477685,-0.04916668965015089,0.020697506646675957,-0.07347603090394227,0.4633451085718621,0.07419841323422026,0.15314925297273746,0.43978959273285695,-0.16679036554415114,0.4650497010922818,-0.24016924517126653,-0.24699114188810145,-0.48765473702566386,0.635768895236673,-0.08534061160000077,0.028485365365513247
rev_sms_total,-0.01704881945612222,-0.005308242245150744,0.014329185796441494,0.8191402960502778,1.0,-0.10456674441440163,-0.04655361373981545,0.9999999999999979,-0.024559889059080547,1.0000000000000127,0.8222868348187247,0.23422910070426542,-0.06662707750483508,-0.011412076369153175,-0.01141207636915729,-0.11818532462730039,0.9732341024863576,-0.11818532462730043,0.06425705424696067,0.06812118532206045,-0.08453534616814752,-0.12391596276064781,-0.11576558036568797,-0.11763935155722077,-0.040769353873580404,-0.04571226163904483,-0.11674002129524878,-0.11763935155722013,-0.040769353873580015,-0.04571226163904589,-0.08623242109427678,-0.13519219923658277,-0.019156938772059286,-0.018662686454985193,-0.027958153380547395,-0.0279581533805474,-0.13047150150268408,0.12553636223506517,-0.035658966217387615,-0.0402201680152847,-0.1869207118504309,-0.016886802393403816,-0.015700684265895434,-0.2013762674692699,0.03660876063381686,0.005638868048997349,0.09169899543717897,-0.05265385514601879,-0.05576817497615434,-0.057203355400283665,0.04908360328299158,0.14756297599344648,-0.018771580869310824,0.14243455566285682
rev_on_net,0.08075651774316085,0.017849580565216055,-0.035086303650801745,0.48450752660387725,-0.10456674441440163,1.0,0.9975035633210054,-0.10456674441451201,-0.1467265770494473,-0.10456674441451289,0.47968557224859093,0.3044081554857969,-0.3980458949790767,-0.0681784391877365,-0.06817843918772573,0.39956946962482376,-0.11313901515036384,0.39956946962482515,-0.2456003346368111,-0.2628002618431418,0.08010527932724806,0.74050315148708,0.8260813086359543,0.885004339213121,-0.24356574771158615,-0.2730958459687135,0.8827085696959525,0.8850043392131112,-0.2435657477115861,-0.2730958459687121,0.6579803685887707,0.6668256838543914,0.10684452414120588,-0.11149529607013203,-0.1670286106050298,-0.16702861060502966,0.1243711504438957,-0.6508763663477145,-0.5133846691153546,-0.03005776594701788,0.31861210978290816,-0.10088574531175709,0.8267507779556934,0.43353394343891316,0.21870938117441865,0.752685765672481,-0.42906758869012135,0.8853383519157526,-0.3331722469456014,-0.34174635371678624,-0.9231439475972584,0.8802491425448092,-0.11119651725345928,-0.163944641657661
rev_off_net,0.08015367509450311,0.017674657319302647,-0.034505671568461904,0.5348011871034803,-0.04655361373981545,0.9975035633210054,1.0,-0.046553613739925136,-0.14973608886556727,-0.04655361373992554,0.5301399236541785,0.31220774003878454,-0.4062102224539279,-0.06957684854523764,-0.06957684854522674,0.39116760861486266,-0.056799358507238024,0.3911676086148651,-0.24288733295023407,-0.2598519427709861,0.07096066438905242,0.7353659278141149,0.8221930813892477,0.8820536122436399,-0.24856152973335663,-0.2786973204384615,0.8792621853012685,0.8820536122436413,-0.24856152973336004,-0.2786973204384649,0.6534279157516818,0.6596351645452639,0.10633304242414672,-0.11369562619078695,-0.17045453784571324,-0.17045453784571324,0.1265559603409643,-0.6407759075151309,-0.5112300292704879,-0.025694028912521986,0.31423277165752633,-0.10295501489262697,0.8283069720705112,0.4289282486301083,0.21163003240242925,0.7560948942763429,-0.4305648423858841,0.8860065058271337,-0.3400059497017716,-0.34875592015190904,-0.9200228349394819,0.8880686699031566,-0.1221824604393593,-0.1633283635237232
Rev_international_call,-0.01704881945613433,-0.005308242245144885,0.014329185796453786,0.8191402960502054,0.9999999999999979,-0.10456674441451201,-0.046553613739925136,1.0,-0.024559889059043303,1.000000000000003,0.8222868348186483,0.23422910070420128,-0.06662707750484245,-0.011412076369127248,-0.01141207636913125,-0.11818532462736453,0.9732341024863662,-0.11818532462736474,0.06425705424702732,0.06812118532214011,-0.08453534616817958,-0.1239159627607388,-0.11576558036579368,-0.11763935155731048,-0.04076935387352296,-0.04571226163898675,-0.11674002129535978,-0.1176393515573105,-0.04076935387352313,-0.04571226163898719,-0.08623242109436086,-0.1351921992366664,-0.019156938772031475,-0.01866268645498961,-0.027958153380511122,-0.027958153380511122,-0.1304715015027377,0.12553636223514408,-0.03565896621734061,-0.04022016801532006,-0.18692071185049342,-0.01688680239341178,-0.015700684265965045,-0.20137626746933862,0.036608760633771394,0.005638868048935797,0.09169899543727339,-0.05265385514608728,-0.0557681749760878,-0.05720335540022,0.049083603283072465,0.1475629759933568,-0.018771580869352374,0.14243455566288526
rev_fix,-0.02427788390011337,-0.0064157591475777756,0.00884103315677936,-0.10299349449535856,-0.024559889059080547,-0.1467265770494473,-0.14973608886556727,-0.024559889059043303,1.0,-0.024559889059042803,-0.10241770669488162,0.1999951554837076,-0.093490172959205,-0.016013264179204692,-0.016013264179208158,-0.23087561512783844,-0.026573282699969003,-0.23087561512784155,0.0636114096930085,0.0729682540548289,-0.25638723435988503,-0.2609863268224921,-0.25171965457203027,-0.1650698745281486,-0.05720698082237761,-0.0641427990995796,-0.23817909750055657,-0.16506987452815103,-0.057206980822377386,-0.0641427990995802,-0.24379499313820926,-0.22825782374168585,-0.019853266782337724,-0.023051292104542834,-0.03923048545801704,-0.03923048545801705,-0.2629505742038555,-0.04319850779576438,0.08969239923420214,0.13829919353210104,-0.3045398468738825,-0.0236953223165646,0.08620679151319478,-0.35483989418826123,-0.21323801207450302,0.09245172118166922,0.668423084996379,0.06737295480326862,0.5857160116202939,0.4293435041915416,0.06887341801930268,-0.04922285946517471,-0.11801748363178813,0.25941801676207815
rev_sms_int,-0.01704881945613464,-0.005308242245144839,0.014329185796453816,0.8191402960502169,1.0000000000000127,-0.10456674441451289,-0.04655361373992554,1.000000000000003,-0.024559889059042803,1.0,0.8222868348186543,0.23422910070420486,-0.06662707750484269,-0.011412076369127014,-0.01141207636913101,-0.11818532462736583,0.9732341024863524,-0.11818532462736506,0.06425705424702846,0.06812118532214041,-0.08453534616817952,-0.12391596276073799,-0.11576558036579651,-0.11763935155731169,-0.040769353873522415,-0.045712261638986826,-0.11674002129535976,-0.11763935155731016,-0.04076935387352251,-0.04571226163898697,-0.08623242109436235,-0.13519219923666798,-0.01915693877203158,-0.018662686454989287,-0.02795815338051089,-0.027958153380510883,-0.13047150150273848,0.12553636223514308,-0.03565896621733993,-0.04022016801532116,-0.18692071185049233,-0.01688680239341154,-0.01570068426596551,-0.2013762674693357,0.036608760633771005,0.005638868048935271,0.09169899543727357,-0.05265385514608705,-0.0557681749760875,-0.05720335540021901,0.049083603283072805,0.14756297599335622,-0.018771580869352645,0.14243455566288443
